role,action,count,fce,progress,debt
executor,defer,16,0.0,0.0,54.260154871875
executor,send_actionable,43,40.104912,50.235548,7.853069925581395
executor,send_informational_only,355,167.89768800000002,112.8304991,21.58930959628169
network_controller,defer,21,0.0,0.0,54.51587151571429
network_controller,send_actionable,43,41.89938775,32.42716,13.28782675116279
network_controller,send_informational_only,350,128.40008565,83.316508,22.64557838917143
planner,defer,3,0.0,0.0,54.28548191666667
planner,send_actionable,208,128.35732775,51.055054,11.596684145673077
planner,send_informational_only,203,18.13535445,30.4721428,28.740010048472904
verifier,defer,59,0.0,0.0,54.66250195762712
verifier,send_actionable,75,14.608768,5.956764,8.171209357333334
verifier,send_informational_only,280,7.4829592,17.4706543,18.837915024535715
